Wall time,Step,Value
1713766371.3804033,0,1636.0
1713766388.5723274,1,1015.0
1713766404.9685097,2,1099.0
1713766415.8730295,3,696.0
1713766431.1294422,4,1121.0
1713766794.7427473,5,12924.0
1713766964.231072,6,7112.0
1713767153.2647016,7,8495.0
1713767161.0546017,8,504.0
1713767173.8371675,9,1148.0
1713767184.6735902,10,1034.0
1713767230.1515977,11,2033.0
1713767238.7585201,12,732.0
1713767284.9091892,13,2406.0
1713767638.2093596,14,9831.0
1713767650.3718977,15,1518.0
1713767661.6432834,16,771.0
1713767663.2776356,17,202.0
1713767722.3596053,18,3343.0
1713767809.3439336,19,3534.0
1713767812.2416353,20,248.0
1713767825.914073,21,640.0
1713767826.3433647,22,28.0
1713767828.170159,23,214.0
1713767829.1316626,24,150.0
1713768050.7786105,25,7566.0
1713768328.7628362,26,8232.0
1713768333.2363515,27,466.0
1713768333.558749,28,7.0
1713768334.1683252,29,86.0
1713768347.273217,30,725.0
1713768544.7932827,31,7946.0
1713768705.1291113,32,7274.0
1713768713.4404392,33,527.0
1713768722.9436028,34,893.0
1713768747.9705067,35,954.0
1713769019.0923467,36,8083.0
1713769019.4475634,37,20.0
1713769020.1219711,38,88.0
1713769024.765263,39,252.0
1713769029.8752782,40,546.0
1713769030.8628454,41,141.0
1713769037.0751007,42,609.0
1713769041.417247,43,224.0
1713769060.0739267,44,955.0
1713769163.7680645,45,4981.0
1713769182.3268073,46,702.0
1713769428.6747036,47,12963.0
1713769569.6237087,48,6692.0
1713769584.314947,49,618.0
1713769596.3832645,50,823.0
1713769598.9285898,51,346.0
1713769599.766991,52,122.0
1713769639.1297503,53,1758.0
1713769665.9277892,54,1642.0
1713769930.6832721,55,7979.0
1713770209.9590602,56,8225.0
1713770753.4259322,57,12762.0
1713770776.3584034,58,1375.0
1713770792.0614998,59,991.0
1713770819.8904967,60,1163.0
1713770833.5997312,61,797.0
1713771070.595295,62,8428.0
1713771203.7270381,63,8594.0
1713771357.895238,64,6990.0
1713771365.4724824,65,298.0
1713771367.8587708,66,248.0
1713771375.8406236,67,633.0
1713771412.9735565,68,2532.0
1713771414.5385475,69,104.0
1713771425.0654848,70,717.0
1713771441.9899457,71,903.0
1713771445.7297342,72,214.0
1713771447.3276815,73,138.0
1713772097.7914848,74,12629.0
1713772114.9083455,75,1534.0
1713772115.525288,76,59.0
1713772266.3436267,77,7044.0
1713772368.281767,78,5337.0
1713772375.0186894,79,341.0
1713772386.8390026,80,825.0
1713772399.0971248,81,829.0
1713772416.4026597,82,775.0
1713772575.7956283,83,7059.0
1713772602.511023,84,1139.0
1713772625.7117164,85,1103.0
1713772626.7246275,86,155.0
1713772737.508805,87,3686.0
1713773053.5322506,88,8118.0
1713773295.2329042,89,8170.0
1713773295.9000835,90,116.0
1713773296.443367,91,70.0
1713773656.5832684,92,8115.0
1713773679.1548588,93,1025.0
1713773691.4412382,94,700.0
1713773696.8302596,95,265.0
1713773880.0829513,96,12718.0
1713773887.1269054,97,571.0
1713773887.655673,98,64.0
1713773888.1510377,99,57.0
1713773902.1734457,100,930.0
1713773920.1971076,101,1153.0
1713773950.3053963,102,1419.0
1713773954.620755,103,474.0
1713774193.9786437,104,12692.0
1713774650.7451007,105,12574.0
1713774664.13516,106,724.0
1713774863.5352082,107,7477.0
1713775468.7603962,108,12509.0
1713775621.04104,109,6736.0
1713775799.4732838,110,7368.0
1713775811.461534,111,955.0
1713775816.0475745,112,262.0
1713775915.6566865,113,4445.0
1713775930.0099938,114,675.0
1713776165.8709579,115,7661.0
1713776369.3175685,116,7423.0
1713776739.295833,117,12575.0
1713776752.6575499,118,945.0
1713776753.7908063,119,155.0
1713776840.731605,120,4695.0
1713776853.212568,121,607.0
