Wall time,Step,Value
1713770227.8430731,0,0.0
1713770230.853893,1,0.0
1713770233.927079,2,0.0
1713770237.03281,3,0.0
1713770239.979392,4,0.0
1713770242.7538471,5,0.0
1713770245.555923,6,0.0
1713770248.350455,7,0.0
1713770250.926559,8,0.0
1713770253.463928,9,0.0
1713770256.1030898,10,0.0
1713770258.908159,11,0.0
1713770261.66493,12,0.0
1713770264.410469,13,0.0
1713770267.198189,14,0.0
1713770269.666601,15,0.0
1713770272.407431,16,0.0
1713770275.042681,17,0.0
1713770277.6005728,18,0.0
1713770280.288667,19,0.0
1713770282.811722,20,0.0
1713770286.247356,21,0.0
1713770289.241993,22,0.0
1713770291.878314,23,0.0
1713770294.3880808,24,0.0
1713770297.480045,25,0.0
1713770300.370008,26,0.0
1713770303.979223,27,0.0
1713770307.186145,28,0.0
1713770310.039988,29,0.0
1713770313.02896,30,0.0
1713770316.0021682,31,0.0
1713770319.028599,32,0.0
1713770322.116482,33,0.0
1713770325.683699,34,0.0
1713770328.994851,35,0.0
1713770332.570015,36,0.0
1713770335.912193,37,0.0
1713770339.157276,38,0.0
1713770342.329122,39,0.0
1713770345.500383,40,0.0
1713770348.611742,41,0.0
1713770351.645542,42,0.0
1713770354.5884569,43,0.0
1713770357.857583,44,0.0
1713770360.7314382,45,0.0
1713770363.7477372,46,0.0
1713770366.676279,47,0.0
1713770369.573479,48,0.0
1713770372.6123772,49,0.0
1713770375.603604,50,0.0
1713770378.664106,51,0.0
1713770381.536453,52,0.0
1713770384.8126268,53,0.0
1713770388.070761,54,0.0
1713770390.9807758,55,0.0
1713770393.90037,56,0.0
1713770396.9348018,57,0.0
1713770399.894324,58,0.0
1713770402.936138,59,0.0
1713770406.322311,60,0.0
1713770409.763324,61,0.0
1713770413.48953,62,0.0
1713770417.1212852,63,0.0
1713770420.8205628,64,0.0
1713770423.931421,65,0.0
1713770427.473099,66,0.0
1713770430.770305,67,0.0
1713770433.646785,68,0.0
1713770436.664198,69,0.0
1713770439.940882,70,0.0
1713770442.98634,71,0.0
1713770446.129866,72,0.0
1713770449.118486,73,0.0
1713770452.192482,74,0.0
1713770455.176783,75,0.0
1713770458.130211,76,0.0
1713770461.25645,77,0.0
1713770464.2077498,78,0.0
1713770467.038408,79,0.0
1713770469.937655,80,0.0
1713770472.9611268,81,0.0
1713770476.180573,82,0.0
1713770479.323628,83,0.0
1713770482.3552608,84,0.0
1713770485.447857,85,0.0
1713770488.6809201,86,0.0
1713770491.991188,87,0.0
1713770495.214793,88,0.0
1713770498.483705,89,0.0
1713770502.01902,90,0.0
1713770505.190725,91,0.0
1713770508.875262,92,0.0
1713770512.221923,93,0.0
1713770515.355187,94,0.0
1713770519.227377,95,0.0
1713770522.465726,96,0.0
1713770525.898388,97,0.0
1713770528.797442,98,0.0
1713770531.703331,99,0.0
1713770534.691332,100,0.0
1713770537.8153799,101,0.0
1713770540.790026,102,0.0
1713770543.804228,103,0.0
1713770546.848211,104,0.0
1713770550.134408,105,0.0
1713770553.3105159,106,0.0
1713770556.2309802,107,0.0
1713770559.503144,108,0.0
1713770562.73927,109,0.0
1713770566.461268,110,0.0
1713770570.062248,111,0.0
1713770573.700044,112,0.0
1713770577.0241349,113,0.0
1713770580.9584079,114,0.0
1713770584.6125388,115,0.0
1713770588.100841,116,0.0
1713770591.582755,117,0.0
1713770594.840789,118,0.0
1713770598.076183,119,0.0
1713770601.314453,120,0.0
1713770604.231084,121,0.0
1713770607.5560992,122,0.0
1713770611.034111,123,0.0
1713770614.292416,124,0.0
1713770617.685087,125,0.0
1713770621.044707,126,0.0
1713770624.193463,127,0.0
1713770627.182156,128,0.0
1713770630.6340868,129,0.0
1713770634.231683,130,0.0
1713770637.7244658,131,0.0
1713770641.193343,132,0.0
1713770644.396279,133,0.0
1713770647.837989,134,0.0
1713770650.456553,135,0.0
1713770654.040112,136,0.021453125402331352
1713770657.6667562,137,0.021453125402331352
1713770661.126294,138,0.021453125402331352
1713770664.417481,139,0.021453125402331352
1713770667.9564831,140,0.021453125402331352
1713770671.467168,141,0.021453125402331352
1713770674.705322,142,0.021453125402331352
1713770677.9248111,143,0.021453125402331352
1713770681.357259,144,0.021453125402331352
1713770684.6936781,145,0.021453125402331352
1713770688.0171,146,0.021453125402331352
1713770691.50789,147,0.021453125402331352
1713770694.817766,148,0.021453125402331352
1713770698.1603851,149,0.021453125402331352
1713770701.527036,150,0.021453125402331352
1713770704.8706272,151,0.021453125402331352
1713770708.105205,152,0.021453125402331352
1713770712.009054,153,0.021453125402331352
1713770715.584075,154,0.021453125402331352
1713770719.355603,155,0.021453125402331352
1713770723.047338,156,0.0
1713770726.4150898,157,0.0
1713770729.927254,158,0.0
1713770733.4688241,159,0.0
1713770736.736979,160,0.0
1713770739.832578,161,0.0
1713770742.9353511,162,0.0
1713770746.044783,163,0.0
1713770749.417661,164,0.0
1713770752.494132,165,0.0
1713770755.840449,166,0.0
1713770759.530802,167,0.0
1713770762.1637352,168,0.0
1713770764.758255,169,0.0
1713770767.296992,170,0.0
1713770770.01683,171,0.0
1713770772.69053,172,0.0
1713770775.3001752,173,0.0
1713770777.8093262,174,0.0
1713770780.4047859,175,0.0
1713770783.153515,176,0.0
1713770785.658421,177,0.0
1713770788.174423,178,0.0
1713770790.9067562,179,0.0
1713770793.493541,180,0.0
1713770796.629768,181,0.0
1713770799.7150311,182,0.0
1713770802.564224,183,0.0
1713770805.547014,184,0.0
1713770808.640744,185,0.0
1713770811.620872,186,0.0
1713770814.4600031,187,0.0
1713770817.57324,188,0.0
1713770820.8522081,189,0.0
1713770823.980423,190,0.0
1713770827.654897,191,0.0
1713770831.319776,192,0.0
1713770834.950235,193,0.0
1713770838.479191,194,0.0
1713770841.8019059,195,0.0
1713770845.354887,196,0.0
1713770848.751311,197,0.0
