Wall time,Step,Value
1713770227.404372,0,846.0
1713770228.9716742,1,369.0
1713770230.487676,2,354.0
1713770233.3888068,3,978.0
1713770235.91709,4,695.0
1713770238.789574,5,1034.0
1713770240.9705,6,858.0
1713770242.62304,7,582.0
1713770245.566311,8,1306.0
1713770248.341353,9,1054.0
1713770249.405026,10,218.0
1713770250.676843,11,290.0
1713770252.288996,12,591.0
1713770253.633769,13,395.0
1713770255.719239,14,847.0
1713770258.6583948,15,1184.0
1713770259.8189409,16,238.0
1713770260.967367,17,223.0
1713770262.925735,18,810.0
1713770266.045302,19,1341.0
1713770266.9223151,20,110.0
1713770268.3719082,21,367.0
1713770270.231617,22,671.0
1713770271.78794,23,369.0
1713770272.701538,24,134.0
1713770275.013566,25,940.0
1713770275.984819,26,179.0
1713770278.2351449,27,831.0
1713770279.4097228,28,227.0
1713770280.7433972,29,302.0
1713770281.880445,30,341.0
1713770284.460928,31,1173.0
1713770287.101391,32,820.0
1713770289.014059,33,588.0
1713770290.14803,34,213.0
1713770292.447896,35,893.0
1713770293.7950249,36,425.0
1713770295.027618,37,244.0
1713770296.897567,38,566.0
1713770298.1154869,39,183.0
1713770301.604357,40,1362.0
1713770303.324338,41,190.0
1713770305.163347,42,316.0
1713770307.955991,43,995.0
1713770309.25422,44,301.0
1713770310.3269901,45,168.0
1713770311.753459,46,280.0
1713770312.846553,47,123.0
1713770315.854073,48,1128.0
1713770317.589345,49,433.0
1713770320.138845,50,874.0
1713770321.9909189,51,592.0
1713770324.57183,52,759.0
1713770328.206374,53,1292.0
1713770331.465599,54,951.0
1713770332.540852,55,53.0
1713770333.768637,56,117.0
1713770337.668345,57,1404.0
1713770339.058773,58,212.0
1713770341.041863,59,597.0
1713770342.9458282,60,589.0
1713770346.368842,61,1205.0
1713770348.2019808,62,505.0
1713770349.89429,63,418.0
1713770352.876833,64,1303.0
1713770353.9218812,65,86.0
1713770357.4002628,66,1342.0
1713770360.8005812,67,1350.0
1713770362.694945,68,461.0
1713770365.0941749,69,882.0
1713770368.6542752,70,1379.0
1713770369.578804,71,54.0
1713770372.730786,72,1332.0
1713770375.399007,73,868.0
1713770377.666635,74,960.0
1713770379.389281,75,432.0
1713770381.5517492,76,785.0
1713770385.37698,77,1384.0
1713770388.353685,78,1183.0
1713770389.5204108,79,121.0
1713770391.887943,80,919.0
1713770394.1751318,81,872.0
1713770397.19747,82,1259.0
1713770400.082269,83,1076.0
1713770403.0482671,84,1128.0
1713770404.6028428,85,240.0
1713770407.134423,86,674.0
1713770409.4770188,87,600.0
1713770411.0570838,88,171.0
1713770413.60791,89,794.0
1713770416.570744,90,938.0
1713770420.32937,91,1050.0
1713770421.5134962,92,113.0
1713770423.656523,93,558.0
1713770425.079427,94,231.0
1713770428.829129,95,1049.0
1713770432.100589,96,1205.0
1713770433.729084,97,364.0
1713770435.187938,98,215.0
1713770436.749161,99,333.0
1713770440.635564,100,1311.0
1713770442.518798,101,477.0
1713770443.973139,102,226.0
1713770447.802907,103,1341.0
1713770450.492299,104,935.0
1713770452.2977211,105,409.0
1713770455.030219,106,887.0
1713770456.3509219,107,147.0
1713770458.462782,108,626.0
1713770460.646881,109,509.0
1713770462.2496672,110,317.0
1713770464.846446,111,813.0
1713770465.994452,112,128.0
1713770467.256913,113,161.0
1713770468.6351528,114,235.0
1713770471.0831392,115,817.0
1713770473.6372101,116,880.0
1713770477.466358,117,1360.0
1713770479.384897,118,430.0
1713770482.815635,119,1319.0
1713770486.586719,120,1344.0
1713770489.217668,121,679.0
1713770493.042336,122,1184.0
1713770495.345763,123,556.0
1713770496.958105,124,213.0
1713770501.600353,125,1391.0
1713770503.770141,126,579.0
1713770506.563821,127,702.0
1713770508.5248058,128,528.0
1713770512.262683,129,1316.0
1713770515.140862,130,946.0
1713770517.443934,131,502.0
1713770521.963831,132,1430.0
1713770523.420264,133,160.0
1713770525.438588,134,472.0
1713770527.064658,135,372.0
1713770529.885684,136,1030.0
1713770531.338639,137,260.0
1713770534.4041321,138,1346.0
1713770536.206707,139,399.0
1713770538.403452,140,681.0
1713770541.104518,141,940.0
1713770542.5461838,142,351.0
1713770544.9989572,143,958.0
1713770548.09093,144,1134.0
1713770549.242357,145,178.0
1713770550.7828019,146,275.0
1713770552.918725,147,592.0
1713770556.2123451,148,1192.0
1713770557.322518,149,65.0
1713770558.902529,150,344.0
1713770560.855933,151,468.0
1713770562.699439,152,390.0
1713770564.397032,153,271.0
1713770566.392289,154,266.0
1713770570.33461,155,1332.0
1713770574.056139,156,1219.0
1713770576.705394,157,909.0
1713770578.8751822,158,447.0
1713770581.672124,159,548.0
1713770583.535724,160,437.0
1713770585.4782898,161,526.0
1713770589.1369338,162,1277.0
1713770590.9007812,163,169.0
1713770593.010963,164,472.0
1713770594.692179,165,435.0
1713770596.413711,166,337.0
1713770597.591208,167,93.0
1713770600.322847,168,901.0
1713770602.3403819,169,523.0
1713770605.048756,170,940.0
1713770609.111559,171,1378.0
1713770610.91856,172,332.0
1713770612.742549,173,409.0
1713770616.3805099,174,1360.0
1713770618.772397,175,540.0
1713770620.059733,176,92.0
1713770622.33151,177,770.0
1713770624.4998772,178,746.0
1713770625.634969,179,92.0
1713770626.824151,180,93.0
1713770630.140427,181,1342.0
1713770631.448429,182,83.0
1713770634.182718,183,880.0
1713770637.747319,184,1133.0
1713770639.177301,185,160.0
1713770641.243194,186,421.0
1713770644.6369169,187,1325.0
1713770646.786198,188,478.0
1713770648.848475,189,565.0
1713770651.371072,190,515.0
1713770652.7583091,191,68.0
1713770653.9888651,192,198.0
1713770655.864961,193,385.0
1713770659.4617212,194,1318.0
1713770660.6051462,195,100.0
1713770661.970026,196,196.0
